,Titles,Brands,Prices,Stars,Urls,Ratings,Review_Words
0,"Panasonic RPHJE290A Earbud Earphone, Blue",Visit the Panasonic Store,$17.99,No Review,/Panasonic-RPHJE290A-Earbud-Earphone-Blue/dp/B007G95EZO/ref=sr_1_35?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599298328&refinements=p_89%3APanasonic&rnid=2528832011&s=electronics&sr=1-35,No Ratings,['No Review']
1,"Koss 155954 VC20 Volume Control, Standard Packaging",Visit the Koss Store,$9.99,4 out of 5,/Koss-155954-VC20-Volume-Control/dp/B00001P4XH/ref=sr_1_35?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599298254&refinements=p_89%3AKoss&rnid=2528832011&s=electronics&sr=1-35,"1,302 ratings","['adjust the volume', 'sound quality', 'earbuds', 'volume controls', 'inline volume', 'stopped working', 'kindle fire', 'pillow speaker', 'works perfectly', 'headphones', 'turn the volume', 'recommend it to anyone']"
2,Beats X Wireless In-Ear Headphones (MLYE2LL/A) Black - Renewed,Visit the Amazon Renewed Store,$68.97,4 out of 5,/Beats-Wireless-Headphones-MLYE2LL-Black/dp/B075SZZDK4/ref=sr_1_22?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599295858&refinements=p_89%3ABeats&rnid=2528832011&s=electronics&sr=1-22,101 ratings,"['sound quality', 'headphones', 'refurbished', 'spend', 'wearing']"
3,"JLab Audio Fit2 Sport Earbuds, Sweatproof, Water Resistant with in-Wire Customizable Earhooks, Guaranteed Fit, Guaranteed for Life - Black/Blue",Visit the JLAB Store,No Price,3.8 out of 5,/Sweatproof-Resistant-Customizable-Earhooks-Guaranteed/dp/B011899B60/ref=sr_1_30?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599298365&refinements=p_89%3AJLAB&rnid=2528832011&s=electronics&sr=1-30,50 ratings,"['around the ear', 'sound quality', 'quality is good', 'earbuds', 'ears', 'stay', 'comfort', 'headphones', 'running', 'clip', 'cord', 'update', 'audio', 'mic', 'sounds', 'volume']"
4,Sony MDR-EX38IP/BLK EX Ear-Bud Headphones with iPod Remote,Visit the Sony Store,No Price,3.3 out of 5,/Sony-MDR-EX38IP-Ear-Bud-Headphones-Remote/dp/B002TWDHXY/ref=sr_1_151?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599298237&refinements=p_89%3ASony&rnid=2528832011&s=electronics&sr=1-151,117 ratings,['No Review']
5,Truly Wireless Earbuds Push Hyper Tropical (12 Moods Limited Edition/July Color) S2BBW-M702【Japan Domestic Genuine Products】 【Ships from Japan】,Visit the Skullcandy Store,No Price,No Review,/Wireless-Tropical-S2BBW-M702%E3%80%90Japan-Domestic-Products%E3%80%91/dp/B07TVGJ9GD/ref=sr_1_79?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599298669&refinements=p_89%3ASkullcandy&rnid=2528832011&s=electronics&sr=1-79,No Ratings,['No Review']
6,"Audio-Technica ATH-CK3TWBK Wireless in-Ear Headphones, Black, Bluetooth 5.0, Water-Resistant, 6 hr Battery",Visit the Audio-Technica Store,$99.00,4.2 out of 5,/Audio-Technica-ATH-CK3TWBK-Headphones-Bluetooth-Water-Resistant/dp/B07Y8XF5W8/ref=sr_1_3?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599295858&refinements=p_89%3AAudio-Technica&rnid=2528832011&s=electronics&sr=1-3,63 ratings,"['touch controls', 'bass and clear', 'sound quality', 'great sound', 'sound great', 'earbuds', 'buds', 'earbud', 'stay', 'features', 'listening', 'mids']"
7,JBL Synchros Reflect BT In-Ear Bluetooth Sport Headhpones Blue,Visit the JBL Store,$39.99,3.1 out of 5,/JBL-Synchros-Reflect-Bluetooth-Headhpones/dp/B00KZJ1FKA/ref=sr_1_110?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599298823&refinements=p_89%3AJBL&rnid=2528832011&s=electronics&sr=1-110,131 ratings,"['battery life', 'earbuds', 'sound quality', 'stopped working', 'great sound', 'worked well', 'synchros reflect', 'waste of money', 'sound great', 'ear tips', 'couple months', 'fully charged', 'recommend anyone', 'stay in my ears']"
8,"JBL Quantum 50 Wired, in-Ear Gaming Headphones with Inline Control - White",Visit the JBL Store,$29.95,No Review,/JBL-Quantum-Gaming-Headphones-Control/dp/B08D7Y5HN3/ref=sr_1_129?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599298827&refinements=p_89%3AJBL&rnid=2528832011&s=electronics&sr=1-129,No Ratings,['No Review']
9,Panasonic SAKIOTO Sealed Earbuds (Lavender Purple) Inner Earphones,Visit the Panasonic Store,No Price,4.8 out of 5,/Panasonic-SAKIOTO-Earbuds-Lavender-Earphones/dp/B008CN2JY2/ref=sr_1_59?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599298335&refinements=p_89%3APanasonic&rnid=2528832011&s=electronics&sr=1-59,6 ratings,['No Review']
10,Sony MDR-EX10LP/DBL Earbud Headphones Cobalt Blue,Visit the Sony Store,No Price,3.7 out of 5,/Sony-MDR-EX10LP-DBL-Earbud-Headphones/dp/B004UJPP20/ref=sr_1_110?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599298230&refinements=p_89%3ASony&rnid=2528832011&s=electronics&sr=1-110,"2,529 ratings","['sound quality', 'stopped working', 'earbud', 'headphones', 'waste of money', 'great price', 'another pair', 'get what you pay', 'much better', 'second pair', 'highly recommend', 'left side', 'outside noise']"
11,"JVC HA-FW01 Wood Series IEM Class-S Solidege with Remote, Mic, and Detachable MMCX Cable",Visit the JVC Store,$329.99,4.3 out of 5,/JVC-HA-FW01-Class-S-Solidege-Detachable/dp/B084WZ3SDF/ref=sr_1_89?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599298744&refinements=p_89%3AJVC&rnid=2528832011&s=electronics&sr=1-89,79 ratings,"['sound signature', 'bass', 'treble', 'compared', 'earbuds', 'soundstage', 'audio', 'controlled', 'deep', 'sounding', 'audiophile', 'ear', 'listen', 'matter', 'tips', 'drive', 'fiio', 'require']"
12,"Skullcandy Method Sweat Resistant Sport Earbud with In-Line Microphone and Remote, Lightweight and Secure In-Ear Fit for Running and Exercise, Cable Management Clip for Workouts, Gray",Visit the Skullcandy Store,No Price,4.3 out of 5,/Skullcandy-Resistant-Microphone-Lightweight-Management/dp/B00NTR5GBO/ref=sr_1_34?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599298659&refinements=p_89%3ASkullcandy&rnid=2528832011&s=electronics&sr=1-34,"1,952 ratings","['sound quality', 'skullcandy', 'great sound', 'sweat resistant', 'stopped working', 'noise cancellation', 'highly recommend', 'good sound', 'earbud', 'headphones', 'last long', 'really good', 'best earbuds']"
13,Sony WF-SP700N Sport True Wireless Bluetooth In Ear Headphones w/ Noise Canceling - Black (Renewed),Visit the Amazon Renewed Store,$67.99,3.1 out of 5,/Sony-Canceling-Headphones-WF-SP700N-Refurbished/dp/B07FF86VNK/ref=sr_1_206?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599298244&refinements=p_89%3ASony&rnid=2528832011&s=electronics&sr=1-206,40 ratings,"['battery life', 'sound quality', 'noise cancellation', 'low', 'bluetooth', 'hour', 'watching']"
14,Panasonic RPNJ300BEK Wireless Ergo-Fit Bluetooth Earphones Black RPNJ300,Visit the Panasonic Store,$63.75,3.3 out of 5,/Panasonic-RPNJ300BEK-Wireless-Bluetooth-Earphones/dp/B01NB0KJ8A/ref=sr_1_24?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599295858&refinements=p_89%3APanasonic&rnid=2528832011&s=electronics&sr=1-24,45 ratings,['No Review']
15,Koss KEB15i Earset,Visit the Koss Store,$35.28,3.9 out of 5,/Koss-KEB15iW-KEB15i-Earset/dp/B00WIYVEJW/ref=sr_1_85?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599298266&refinements=p_89%3AKoss&rnid=2528832011&s=electronics&sr=1-85,4 ratings,['No Review']
16,Audio Technica ATH-EQ300M WH White | Ear-Fit Headphones (Japan Import),Brand: Audio-Technica,$15.99,4.1 out of 5,/Technica-ATH-EQ300M-WH-Ear-Fit-Headphones/dp/B001DDLMQ4/ref=sr_1_65?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599298629&refinements=p_89%3AAudio-Technica&rnid=2528832011&s=electronics&sr=1-65,129 ratings,"['sound quality', 'sound great', 'audio technica', 'sound leakage', 'work great', 'pair of headphones', 'ear', 'earbuds', 'headphone', 'volume', 'break', 'clip', 'listening', 'sounds', 'totally', 'type']"
17,Koss KEB6W In-Ear 13mm Stereophone Earbuds,Visit the Koss Store,$14.71,5 out of 5,/Koss-KEB6W-Ear-Stereophone-Earbuds/dp/B00CWXJX5Q/ref=sr_1_23?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599295858&refinements=p_89%3AKoss&rnid=2528832011&s=electronics&sr=1-23,1 rating,['No Review']
18,Shure SE112 | Sound Isolating Earphones Dynamic MicroDriver Fixed Cables Grey,Visit the Shure Store,No Price,3.4 out of 5,/Auriculares-Aislamiento-Ac%C3%BAstico-Dynamic-microdriver/dp/B00I2Z2X1Y/ref=sr_1_36?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599298695&refinements=p_89%3AShure&rnid=2528832011&s=electronics&sr=1-36,9 ratings,['No Review']
19,Philips SHE7050PP/27 Earbuds - Headphones Crystal Clear Natural Sound Purple,Visit the PHILIPS Store,$12.99,3.7 out of 5,/Philips-SHE7050PP-27-Earbuds-Headphones/dp/B018893PCY/ref=sr_1_15?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599295858&refinements=p_89%3APHILIPS&rnid=2528832011&s=electronics&sr=1-15,14 ratings,['No Review']
20,"Sony MDRXB50AP Extra Bass Earbud Headphones/Headset with Mic for Phone Call, Black",Visit the Sony Store,$29.99,4.4 out of 5,/Sony-MDRXB50AP-Extra-Earbud-Headset/dp/B00JRD13T8/ref=sr_1_2?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599295858&refinements=p_89%3ASony&rnid=2528832011&s=electronics&sr=1-2,"10,074 ratings","['sound quality', 'extra bass', 'stopped working', 'highly recommend', 'noise cancellation', 'another pair', 'bang for your buck', 'good sound', 'noise cancelling', 'second pair', 'ever owned', 'much better', 'earbud']"
21,Samsung Wired Headset for Samsung - White (Certified Refurbished),Visit the Amazon Renewed Store,$11.49,No Review,https://www.amazon.com/Samsung-Wired-Headset-Certified-Refurbished/dp/B07DP6N6YM/ref=sr_1_73?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599298299&refinements=p_89%3ASAMSUNG&rnid=2528832011&s=electronics&sr=1-73,No Ratings,['No Review']
22,Panasonic Ergofit in Ear Earbuds,Visit the Panasonic Store,$9.99,4.4 out of 5,/Panasonic-RP-HJE125-A-Wired-Earphones-Blue/dp/B00KZIQH86/ref=sr_1_4?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599295858&refinements=p_89%3APanasonic&rnid=2528832011&s=electronics&sr=1-4,554 ratings,"['sound quality', 'earbuds', 'small ears', 'price point', 'good sound', 'noise cancelling', 'fit perfectly', 'second pair', 'long time', 'sound good', 'comfortable to wear', 'sound great', 'last a long', 'stopped working']"
23,Panasonic RP-HJE100-A Noise Isolation In-Ear Earphones (Blue) (Discontinued by Manufacturer),Visit the Panasonic Store,$14.00,3.3 out of 5,/Panasonic-RP-HJE100-Isolation-Discontinued-Manufacturer/dp/B002883QFI/ref=sr_1_60?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599298335&refinements=p_89%3APanasonic&rnid=2528832011&s=electronics&sr=1-60,3 ratings,['No Review']
24,"Jabra Elite Active 45e Wireless Sports Earbuds, Navy – Alexa Built-in Wireless Bluetooth Earbuds, Around-The-Neck Style with a Secure Fit and Superior Sound, Long Battery Life, Ideal for Running",Visit the Jabra Store,$49.99,4.2 out of 5,/Jabra-Active-Wireless-Sports-Earbuds/dp/B07PWNDT9S/ref=sr_1_3?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599295858&refinements=p_89%3AJabra&rnid=2528832011&s=electronics&sr=1-3,68 ratings,"['battery life', 'sound quality', 'listen to music', 'elite active', 'earbuds', 'going on around', 'voice prompts', 'come loose', 'around your neck', 'wireless earbuds', 'easy to use', 'long time', 'quality is good', 'ear piece']"
25,SONY In-Ear Headphones exclusively for Walkman with Noise-canceling Function | MDR-NWNC33 B Black,Visit the Sony Store,$68.50,4 out of 5,/Headphones-exclusively-Noise-canceling-Function-MDR-NWNC33/dp/B003FZB9SY/ref=sr_1_103?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599298230&refinements=p_89%3ASony&rnid=2528832011&s=electronics&sr=1-103,327 ratings,['No Review']
26,JLab Audio Metal Wired Rugged Earbuds | Titanium 8mm Drivers | Universal Mic for iPhone & Android | Noise Isolation | Cable Clip | IP55 Sweat Proof Rating Extra Gel Tips & Cush Fins | Black / Pink,Visit the JLAB Store,No Price,4.1 out of 5,/Earbuds-Titanium-Drivers-Universal-Isolation/dp/B00ICR6B3S/ref=sr_1_34?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599298365&refinements=p_89%3AJLAB&rnid=2528832011&s=electronics&sr=1-34,12 ratings,['No Review']
27,"Philips SHQ1300LF/27 ActionFit Sports Headphones, Lime",Visit the PHILIPS Store,No Price,3.7 out of 5,/Philips-SHQ1300LF-27-ActionFit-Headphones/dp/B00UMSGHNY/ref=sr_1_47?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599298549&refinements=p_89%3APHILIPS&rnid=2528832011&s=electronics&sr=1-47,386 ratings,"['sound quality', 'ear buds', 'stay in my ear', 'stay put', 'ambient noise', 'work well', 'allows you to hear', 'hear the music', 'good sound', 'good for the price', 'set of headphones', 'listen to music', 'price point']"
28,Plantronics MX200 FlexGrip Universal Earbud Headset - 2.5mm & 3.5mm,Visit the Plantronics Store,$21.99,3.9 out of 5,/Plantronics-FlexGrip-Universal-Earbud-Headset/dp/B0071MGS7O/ref=sr_1_12?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599295858&refinements=p_89%3APlantronics&rnid=2528832011&s=electronics&sr=1-12,82 ratings,"['sound quality', 'clear sound', 'good sound', 'ear piece', 'like the bluetooth', 'headset', 'adapter', 'hear', 'earbud', 'pocket', 'volume', 'wireless', 'package', 'stay', 'button', 'call', 'clip', 'cord', 'devices']"
29,Jabra SPORT ROX Bluetooth Wireless Stereo Earbuds,Visit the Jabra Store,$24.95,3.5 out of 5,/Jabra-SPORT-ROX-Bluetooth-Wireless/dp/B00OKZVOKG/ref=sr_1_18?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599295858&refinements=p_89%3AJabra&rnid=2528832011&s=electronics&sr=1-18,49 ratings,"['stopped working', 'sound quality', 'sport rox', 'battery life', 'earbuds', 'last 5 hours', 'stay in my ears', 'working after 2 months', 'keep them in my ears', 'good sound', 'headphones', 'warranty', 'earbuds']"
30,Beats EP Wired Headphones - Red with AppleCare+ Bundle,Visit the Beats Store,$120.00,4 out of 5,/Beats-EP-Wired-Headphones-AppleCare/dp/B0873VYF1G/ref=sr_1_25?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599298402&refinements=p_89%3ABeats&rnid=2528832011&s=electronics&sr=1-25,2 ratings,['No Review']
31,Skullcandy Smokin' Buds (Discontinued by Manufacturer),Visit the Skullcandy Store,No Price,3.7 out of 5,/Skullcandy-Smokin-Buds-Discontinued-Manufacturer/dp/B007136B7K/ref=sr_1_93?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599298669&refinements=p_89%3ASkullcandy&rnid=2528832011&s=electronics&sr=1-93,153 ratings,"['sound quality', 'smokin buds', 'great sound', 'earbud', 'second pair', 'mic', 'bass', 'earphones', 'compared', 'usually', 'dont', 'lasted', 'mids', 'pocket', 'cord', 'giving', 'low', 'sounds']"
