,Titles,Brands,Prices,Stars,Urls,Ratings,Review_Words
32,"Jabra Elite Active 65t Earbuds – True Wireless Earbuds with Charging Case, Copper Black – Bluetooth Earbuds with a Secure Fit and Superior Sound, Long Battery Life and More (Renewed)",Visit the Amazon Renewed Store,$89.99,3.9 out of 5,/Jabra-Elite-Active-65t-Earbuds/dp/B07W95NWL2/ref=sr_1_4?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599295858&refinements=p_89%3AJabra&rnid=2528832011&s=electronics&sr=1-4,621 ratings,"['sound quality', 'battery life', 'noise cancellation', 'earbud', 'left earbud', 'elite active', 'right earbud', 'charging case', 'stopped working', 'left ear', 'different size', 'like new', 'great sound', 'noise cancelling', 'pretty much']"
33,Panasonic Stereo Earphones Sealed Pink DEEP FIT BASS RP-HJE255-P (Japan Import),Visit the Panasonic Store,$124.66,2.5 out of 5,/Panasonic-Stereo-profundo-rp-hje255-p-Importaci%C3%B3n/dp/B005RY6JO0/ref=sr_1_87?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599298338&refinements=p_89%3APanasonic&rnid=2528832011&s=electronics&sr=1-87,3 ratings,['No Review']
34,Sony Wireless Stereo Dynamic In-Ear Headset - MDR-EX31BN/R (Red) Bluetooth power cLass2 Ver.3,Visit the Sony Store,$108.00,4.1 out of 5,/Sony-Wireless-Stereo-Dynamic-Headset/dp/B00FJISZ1E/ref=sr_1_221?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599298247&refinements=p_89%3ASony&rnid=2528832011&s=electronics&sr=1-221,263 ratings,"['battery life', 'sound was very good', 'sound quality', 'headphones', 'bluetooth', 'ear', 'buds', 'clip']"
35,"Audio-Technica ATH-SPORT90BTBK SonicSport Wireless in-Ear Headphones, Black",Visit the Audio-Technica Store,$159.00,2 out of 5,/Audio-Technica-ATH-SPORT90BTBK-SonicSport-Wireless-Headphones/dp/B084YXT4C6/ref=sr_1_33?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599298622&refinements=p_89%3AAudio-Technica&rnid=2528832011&s=electronics&sr=1-33,1 rating,['No Review']
36,"Sony MDRXB70BT/B Wireless, In-Ear Headphone, DARK Black",Visit the Sony Store,No Price,3.9 out of 5,/Sony-MDRXB70BT-Wireless-Headphone-Black/dp/B072WCWDZZ/ref=sr_1_198?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599298244&refinements=p_89%3ASony&rnid=2528832011&s=electronics&sr=1-198,92 ratings,"['battery life', 'sound quality', 'around the neck', 'stopped working', 'last year', 'great sound', 'right side', 'sound good', 'quality is good', 'sound great', 'good sound', 'bass', 'earbuds', 'range', 'wireless']"
37,"Sony Premium In-Ear EX Series Earbud Headphones With In-Line iOS Remote & Mic For Volume And Track Control & Hands-Free Talking Compatable with Android phones, 9 mm High Sensitivity Driver Units, Tangle Free Cord, 5 - 24,000 Hz Frequency Response",Visit the Sony Store,No Price,No Review,/Sony-Premium-EX-Headphones-Sensitivity/dp/B00DH07M5Q/ref=sr_1_171?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599298240&refinements=p_89%3ASony&rnid=2528832011&s=electronics&sr=1-171,No Ratings,['No Review']
38,JVC HAFX5W GUMY Headphones - White,Visit the JVC Store,$5.90,3.9 out of 5,/JVC-HAFX5W-GUMY-Headphones-White/dp/B00834J74U/ref=sr_1_48?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599298732&refinements=p_89%3AJVC&rnid=2528832011&s=electronics&sr=1-48,18 ratings,['No Review']
39,SONY Wireless noise canceling stereo earbuds WF-1000X BM (BLACK)(International version),Visit the Sony Store,$198.00,2.9 out of 5,/Wireless-canceling-earbuds-WF-1000X-International/dp/B0756KYF6M/ref=sr_1_137?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599298233&refinements=p_89%3ASony&rnid=2528832011&s=electronics&sr=1-137,203 ratings,['No Review']
40,JVC HA-FX102B Black in-Ear Headphones HAFX102,Visit the JVC Store,No Price,3.7 out of 5,/JVC-HA-FX102B-BLACK-Headphones-HAFX102/dp/B00VEEYXD6/ref=sr_1_58?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599298740&refinements=p_89%3AJVC&rnid=2528832011&s=electronics&sr=1-58,54 ratings,['No Review']
41,Sony Earphones- MDREX15LP (Black),Visit the Sony Store,$20.26,4.1 out of 5,/Sony-MDREX15LPB-AE-Earphones-MDREX15LP-Black/dp/B00I3LUQPW/ref=sr_1_52?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599298213&refinements=p_89%3ASony&rnid=2528832011&s=electronics&sr=1-52,"2,364 ratings","['earbuds', 'stopped working', 'listen to music', 'sound quality', 'couple months', 'right side', 'every 6 months', 'sound was good', 'great sound', 'volume', 'bass', 'ears', 'earbud', 'hear']"
42,"JLab Audio JBuds Air True Wireless Signature Bluetooth Earbuds + Charging Case - Black - IP55 Sweat Resistance - Bluetooth 5.0 Connection - 3 EQ Sound Settings: JLab Signature, Balanced, Bass Boost",Visit the JLAB Store,$49.00,4.1 out of 5,/Wireless-Signature-Bluetooth-Earbuds-Charging/dp/B07HGL3J31/ref=sr_1_4?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599295858&refinements=p_89%3AJLAB&rnid=2528832011&s=electronics&sr=1-4,"5,486 ratings","['sound quality', 'battery life', 'wireless earbuds', 'true wireless', 'stopped working', 'earbud', 'right earbud', 'noise cancellation', 'highly recommend', 'left earbud', 'price point', 'listening to music']"
43,"Bang & Olufsen Beoplay E8 2.0 Motion True Wireless In-Ear Earphones, Graphite, One size - 1646701",Visit the Bang & Olufsen Store,$273.25,3.7 out of 5,/Bang-Olufsen-1646701-Beoplay-Motion/dp/B07RT6NL2D/ref=sr_1_2?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599295858&refinements=p_89%3ABang+%26+Olufsen&rnid=2528832011&s=electronics&sr=1-2,107 ratings,"['bang and olufsen', 'sound quality', 'noise cancellation', 'wireless charging', 'earbuds', 'battery life', 'noise isolation', 'every time', 'memory foam', 'fully charged', 'touch sensitive', 'secure fit', 'ear pieces']"
44,Monster Gwen Stefani Super Kawaii Harajuku In-Ear Headphones,Visit the Monster Store,$29.00,3.5 out of 5,/Monster-Stefani-Kawaii-Harajuku-Headphones/dp/B004YIZT78/ref=sr_1_53?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599298853&refinements=p_89%3AMonster&rnid=2528832011&s=electronics&sr=1-53,9 ratings,['No Review']
45,JVC HAF160R Gumy Ear Bud Headphone Red,Visit the JVC Store,$8.56,4.3 out of 5,/JVC-HAF160R-Gumy-Ear-Headphone/dp/B00DSTBMZ2/ref=sr_1_31?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599298732&refinements=p_89%3AJVC&rnid=2528832011&s=electronics&sr=1-31,"2,698 ratings","['sound quality', 'earbud', 'last a long', 'stopped working', 'long time', 'work well', 'hurt my ears', 'great price', 'good sound', 'gumy ear', 'hard plastic', 'get what you pay', 'job done', 'pretty good', 'great sound']"
46,Panasonic stereo earphones Suites Jewel White RP-HJF3-W (japan import),Visit the Panasonic Store,$46.52,4.4 out of 5,/Panasonic-stereo-earphones-Suites-RP-HJF3-W/dp/B0037HP4BI/ref=sr_1_73?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599298338&refinements=p_89%3APanasonic&rnid=2528832011&s=electronics&sr=1-73,106 ratings,['No Review']
47,"JBL USB C Earphones with Microphone Active Noise Cancelling Earbuds Wired in-Ear Type C Headphones for Google Pixel, Moto, Xiaomi, HTC, Samsung, iPad Pro 2018,Razer,Essential,MacBook (Black)",Visit the JBL Store,No Price,2 out of 5,/JBL-Earphones-Microphone-Cancelling-Headphones/dp/B07M82C44H/ref=sr_1_45?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599298808&refinements=p_89%3AJBL&rnid=2528832011&s=electronics&sr=1-45,2 ratings,['No Review']
48,JVC HAFX5P Gumy Plus Inner Ear Headphones (Pink),Visit the JVC Store,$7.99,4.3 out of 5,/JVC-HAFX5P-Gumy-Inner-Headphones/dp/B005K926MQ/ref=sr_1_3?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599295858&refinements=p_89%3AJVC&rnid=2528832011&s=electronics&sr=1-3,"2,279 ratings","['sound quality', 'inner ear', 'gumy plus', 'another pair', 'great price', 'earbud', 'hafx5b gumy', 'plus inner', 'noise cancelling', 'ear canal', 'left earbud', 'pistachio green', 'bang for your buck', 'highly recommend']"
49,Sony XBAH1 Hybrid 2-Way Driver In-Ear Headphones,Visit the Sony Store,No Price,3.9 out of 5,/Sony-XBAH1-Hybrid-Driver-Headphones/dp/B00FJISZFK/ref=sr_1_174?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599298240&refinements=p_89%3ASony&rnid=2528832011&s=electronics&sr=1-174,166 ratings,"['sound quality', 'earbuds', 'comply tips', 'in-ear headphones', 'build quality', 'save my money', 'balanced armature', 'frequency response', 'much better', 'sound pretty', 'sound good', 'pretty decent', 'foam tips']"
50,Sony MDR-XB50BS Black EXTRA BASS Sports Bluetooth In-Ear Headphones MDRXB50BS,Visit the Sony Store,No Price,3.5 out of 5,/Sony-MDR-XB50BS-Bluetooth-Headphones-MDRXB50BS/dp/B01MZCYM6H/ref=sr_1_147?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599298237&refinements=p_89%3ASony&rnid=2528832011&s=electronics&sr=1-147,6 ratings,['No Review']
51,Jabra EarWave Corded Headset - PivotBoom 4-Pack Original Eargels - Silicone Earbuds,Visit the Jabra Store,$7.77,3.2 out of 5,/Jabra-EarWave-Corded-Headset-PivotBoom/dp/B017JGRRY4/ref=sr_1_19?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599295858&refinements=p_89%3AJabra&rnid=2528832011&s=electronics&sr=1-19,4 ratings,['No Review']
52,Philips MyJam Beamers in Ear Headphones - Pink (SHE3550PK/27),Visit the PHILIPS Store,$12.49,3.9 out of 5,/Philips-MyJam-Beamers-Ear-Headphones/dp/B0716ZR8SQ/ref=sr_1_27?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599295858&refinements=p_89%3APHILIPS&rnid=2528832011&s=electronics&sr=1-27,15 ratings,['No Review']
53,JVC in-Ear Headphones with 1-Button Remote Control and Microphone,Visit the JVC Store,$19.75,No Review,/JVC-Headphones-1-Button-Control-Microphone/dp/B01NA9WJ05/ref=sr_1_107?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599298747&refinements=p_89%3AJVC&rnid=2528832011&s=electronics&sr=1-107,No Ratings,['No Review']
54,Sony MDR-E10LP Fashion Ear Bud In-Ear Headphones Stereo Earbuds - Black (MDRE10LP),Visit the Sony Store,No Price,4.5 out of 5,/Sony-MDR-E10LP-Fashion-Headphones-Earbuds/dp/B00KC89YAC/ref=sr_1_95?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599298226&refinements=p_89%3ASony&rnid=2528832011&s=electronics&sr=1-95,13 ratings,['No Review']
55,"Panasonic RP-TCM115 Canal-Type in-Ear Headphones, Pink",Visit the Panasonic Store,No Price,No Review,/Panasonic-RP-TCM115-Canal-Type-Ear-Headphones/dp/B08GCYPRQX/ref=sr_1_100?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599298342&refinements=p_89%3APanasonic&rnid=2528832011&s=electronics&sr=1-100,No Ratings,['No Review']
56,"JVC HAAE1WA AE Sport Headphones, Wireless, Bluetooth 5.0, 11-Hour Battery, Touch Sensor Cotrols, Touch & Talk, Waterproof IP55 (Blue)",Visit the JVC Store,$79.95,No Review,/JVC-Headphones-Wireless-Bluetooth-Waterproof/dp/B0899NW72L/ref=sr_1_135?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599298751&refinements=p_89%3AJVC&rnid=2528832011&s=electronics&sr=1-135,No Ratings,['No Review']
