,Titles,Brands,Prices,Stars,Urls,Ratings,Review_Words
11,Koss 181058 Keb6i In-Ear Headphones (Red),Visit the Koss Store,No Price,No Review,/Koss-181058-Keb6i-Ear-Headphones/dp/B00IKAP38G/ref=sr_1_87?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599298266&refinements=p_89%3AKoss&rnid=2528832011&s=electronics&sr=1-87,No Ratings,['No Review']
12,Skullcandy X2SPCZ-815 Red Spoke In Ear Buds,Visit the Skullcandy Store,No Price,3 out of 5,/Skullcandy-X2SPCZ-815-Red-Spoke-Buds/dp/B0045NH5WY/ref=sr_1_103?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599298673&refinements=p_89%3ASkullcandy&rnid=2528832011&s=electronics&sr=1-103,2 ratings,['No Review']
13,Jabra UC Bluetooth Headset - Gray/Black,Visit the Jabra Store,$130.00,3.9 out of 5,/Jabra-UC-Bluetooth-Headset-Black/dp/B00VK12A6U/ref=sr_1_22?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599295858&refinements=p_89%3AJabra&rnid=2528832011&s=electronics&sr=1-22,7 ratings,['No Review']
14,"JVC Gumy in Ear Earbud Headphones, Powerful Sound, Comfortable and Secure Fit, Silicone Ear Pieces S/M/L - HAFX7B (Black)",Visit the JVC Store,$7.99,4.4 out of 5,/Headphone-earpieces-Included-JVC-HAFX7B/dp/B073R2RSB2/ref=sr_1_2?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599295858&refinements=p_89%3AJVC&rnid=2528832011&s=electronics&sr=1-2,"1,971 ratings","['sound quality', 'stopped working', 'noise cancellation', 'last long', 'pretty good', 'another pair', 'small ears', 'low price', 'long time', 'waste of money', 'comfortable to wear', 'earbud', 'gumy plus', 'ear pieces']"
15,2019 Stereo Headphones for Samsung Galaxy S10 S10e S10 Plus - Designed by AKG - with Microphone (White),Visit the SAMSUNG Store,$13.95,4.3 out of 5,/2019-Stereo-Headphones-Samsung-Galaxy/dp/B07TWB1R8B/ref=sr_1_18?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599295858&refinements=p_89%3ASAMSUNG&rnid=2528832011&s=electronics&sr=1-18,461 ratings,"['waste your money', 'sound quality', 'headphones', 'akg', 'seller', 'earbuds', 'fake', 'oem']"
16,Beats by Dre Powerbeats High-Performance Wireless Earphones - White - MWNW2LL/A,Visit the Amazon Renewed Store,$107.86,4.8 out of 5,/Beats-Powerbeats-High-Performance-Wireless-Earphones/dp/B0893F6M16/ref=sr_1_6?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599295858&refinements=p_89%3ABeats&rnid=2528832011&s=electronics&sr=1-6,7 ratings,['No Review']
17,"JLab Audio NEON Metal in-Ear Earbuds with Universal Mic for iPhone & Android, Guaranteed for Life - Gray/Yellow",Visit the JLAB Store,$9.99,4.1 out of 5,/Earbuds-Universal-iPhone-Android-Guaranteed/dp/B00KTXZJF4/ref=sr_1_17?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599295858&refinements=p_89%3AJLAB&rnid=2528832011&s=electronics&sr=1-17,150 ratings,"['earbuds', 'stopped working', 'sound quality', 'great sound', 'right earbud', 'another pair', 'audio quality', 'left earbud', 'long time', 'second pair', 'buds like', 'earbuds are great', 'headphones', 'lasted', 'ears', 'jack']"
18,JBL Under Armour Sport Wireless React – by JBL - Bluetooth Earbuds made for Sport with Deep Bass. Wireless IPX7 Waterproof Headphones with Microphone. Works with Android and Apple iOS (White),Visit the JBL Store,No Price,4.3 out of 5,/Under-Armour-Sport-Wireless-Silver/dp/B07HY99YQW/ref=sr_1_58?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599298816&refinements=p_89%3AJBL&rnid=2528832011&s=electronics&sr=1-58,21 ratings,"['sound quality', 'great sound', 'shirt clip', 'easy to use', 'quality was not good', 'headphones', 'earbuds', 'feature', 'volume', 'audio', 'charging', 'hear', 'sounds', 'bluetooth', 'ears', 'pieces']"
19,"JBL Tune 225TWS True Wireless Earbud Headphones - JBL Pure Bass Sound, Bluetooth, 25H Battery, Dual Connect, Native Voice Assistant, Android and iOS Compatible (Black)",Visit the JBL Store,$99.95,3.6 out of 5,/JBL-225TWS-Wireless-Earbud-Headphones/dp/B088NDGYPX/ref=sr_1_28?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599298808&refinements=p_89%3AJBL&rnid=2528832011&s=electronics&sr=1-28,8 ratings,['No Review']
20,Panasonic RP-HV21-G Stereo Earbud Headphone (Green),Visit the Panasonic Store,$10.99,2.4 out of 5,/Panasonic-RP-HV21-G-Stereo-Earbud-Headphone/dp/B00KZIR6JK/ref=sr_1_72?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599298335&refinements=p_89%3APanasonic&rnid=2528832011&s=electronics&sr=1-72,4 ratings,['No Review']
21,"Shure SE425 Wireless Earphones with Bluetooth 5.0, Sound Isolating, Silver",Visit the Shure Store,No Price,4.2 out of 5,/Shure-Wireless-Earphones-Bluetooth-Isolating/dp/B07W6S1FG7/ref=sr_1_6?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599295858&refinements=p_89%3AShure&rnid=2528832011&s=electronics&sr=1-6,45 ratings,"['sound quality', 'battery life', 'amazing sound', 'bluetooth', 'ear', 'wired', 'headphones', 'bass', 'connection', 'audio', 'cord', 'noise', 'sounds', 'volume', 'mic', 'devices', 'earphones', 'expensive']"
22,Jabra Step Wireless Bluetooth Stereo Earbuds 100-97000000-02 (Renewed),Visit the Amazon Renewed Store,No Price,2.5 out of 5,/Jabra-Wireless-Bluetooth-Earbuds-100-97000000-02/dp/B07RCK83YS/ref=sr_1_21?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599295858&refinements=p_89%3AJabra&rnid=2528832011&s=electronics&sr=1-21,9 ratings,['No Review']
23,"PANASONIC Bluetooth Earbud Headphones with Microphone, Call/Volume Controller and Quick Charge Function - RP-HJE120B-R - in-Ear Headphones (Red)",Visit the Panasonic Store,$29.99,3.5 out of 5,/Panasonic-Bluetooth-Headphones-Controller-RP-HJE120B-R/dp/B071XNVKBM/ref=sr_1_2?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599295858&refinements=p_89%3APanasonic&rnid=2528832011&s=electronics&sr=1-2,684 ratings,"['battery life', 'sound quality', 'wired version', 'stopped working', 'good sound', 'easy to use', 'listening to music', 'turn my head', 'wireless bluetooth', 'wired earbuds', 'wired ones', 'behind the neck']"
24,Sony MDRNC31EMW Sony Mobile Digital Noise Canceling Headset,Visit the Sony Store,$39.99,3.2 out of 5,/Sony-MDRNC31EMW-Digital-Canceling-Headset/dp/B00P4ZC2ZC/ref=sr_1_209?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599298244&refinements=p_89%3ASony&rnid=2528832011&s=electronics&sr=1-209,31 ratings,"['noise cancelling', 'sound quality', 'works very well', 'use with xperia', 'noise cancellation', 'headphones', 'devices', 'jack', 'ear', 'audio']"
25,AKG Y100 Wireless Bluetooth Earbuds - Black (US Version),Visit the SAMSUNG Store,$47.80,3.8 out of 5,/AKG-Y100-Wireless-Bluetooth-Earbuds/dp/B07G96L41J/ref=sr_1_26?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599295858&refinements=p_89%3ASAMSUNG&rnid=2528832011&s=electronics&sr=1-26,274 ratings,"['battery life', 'sound quality', 'ambient aware', 'macbook pro', 'around the neck', 'bluetooth headphones', 'micro usb', 'stopped working', 'phone calls', 'wireless earbuds', 'feel like', 'bluetooth earbuds']"
26,Audio-Technica Balanced Armature type Inner Ear Monitor Headphones Black ATH-CKB70 BK,Visit the Audio-Technica Store,No Price,4.3 out of 5,/Audio-Technica-Balanced-Headphones-ATH-CKB70-BK/dp/B00OTADU36/ref=sr_1_87?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599298632&refinements=p_89%3AAudio-Technica&rnid=2528832011&s=electronics&sr=1-87,4 ratings,['No Review']
27,"JVC HAAE1WB AE Sport Headphones, Wireless, Bluetooth 5.0, 11-Hour Battery, Touch Sensor Cotrols, Touch & Talk, Waterproof IP55 (Black)",Visit the JVC Store,$79.95,No Review,/dp/B0899MKQ99/ref=sr_1_159?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599298754&refinements=p_89%3AJVC&rnid=2528832011&s=electronics&sr=1-159,No Ratings,['No Review']
28,JVC HA-FXZ100 In-Ear Headphone,Visit the JVC Store,$333.54,4 out of 5,/JVC-HA-FXZ100-E-HA-FXZ100-In-Ear-Headphone/dp/B009UPTOP8/ref=sr_1_183?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599298757&refinements=p_89%3AJVC&rnid=2528832011&s=electronics&sr=1-183,30 ratings,['No Review']
29,Sony MDREX38iP/BLK EX Earbud with iPod Remote Control - Black,Visit the Sony Store,$54.99,3.8 out of 5,/Sony-MDREX38iP-BLK-Earbud-Control/dp/B002M78JA2/ref=sr_1_36?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599298213&refinements=p_89%3ASony&rnid=2528832011&s=electronics&sr=1-36,742 ratings,"['sound quality', 'stopped working', 'remote control', 'ipod touch', 'ipod shuffle', 'mdrex blk', 'another pair', 'great sound', 'play pause', 'work well', 'right earbud', 'pause and play', 'outside noise', 'different sizes']"
30,JBL TUNE 205 - In-Ear Headphone with One-Button Remote/Mic - Black,Visit the JBL Store,No Price,4.3 out of 5,/JBL-T205-Headphone-One-Button-Remote/dp/B07PDNN68X/ref=sr_1_31?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599298808&refinements=p_89%3AJBL&rnid=2528832011&s=electronics&sr=1-31,521 ratings,"['sound quality', 'good sound', 'ear', 'earbuds', 'headphones', 'noise', 'apple', 'uncomfortable', 'bass', 'daily', 'hear', 'block', 'comfort', 'fall', 'wearing']"
31,Sony MDR-XB80BS Red Premium Waterproof Bluetooth Wireless Extra Bass Sports in-Ear 7 Hr of Playback Headphones/Microphone (International Version),Visit the Sony Store,No Price,3.9 out of 5,/Sony-MDR-XB80BS-Waterproof-Headphones-International/dp/B07N94KGCQ/ref=sr_1_184?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599298240&refinements=p_89%3ASony&rnid=2528832011&s=electronics&sr=1-184,9 ratings,['No Review']
32,"JVC True Wireless Earbuds for Sports & Fitness, Sweat/Water Proof IPX5, Bluetooth Connectivity, Pivot Motion Fit, 3 Point Support Structure, 3+6 Hours Battery Life - HAET90BTB (Black)",Visit the JVC Store,$48.99,3.2 out of 5,/Wireless-Washable-Bluetooth-JVC-HA-ET90BTB/dp/B07CRHH56F/ref=sr_1_61?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599298740&refinements=p_89%3AJVC&rnid=2528832011&s=electronics&sr=1-61,70 ratings,"['earbuds', 'sound quality', 'battery life', 'wireless headphones', 'different sizes', 'truly wireless', 'change the sound', 'wireless sport', 'sport headphones', 'app allows', 'phone calls', 'stay in my ears']"
33,Powerbeats³ Wireless Headphones - Apple W1 Chip - Defiant Black-Red with AppleCare+ Bundle,Visit the Beats Store,No Price,4.6 out of 5,/Powerbeats%C2%B3-Wireless-Headphones-Black-Red-AppleCare/dp/B0873X8QDF/ref=sr_1_17?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599295858&refinements=p_89%3ABeats&rnid=2528832011&s=electronics&sr=1-17,22 ratings,['No Review']
34,JVC HA-ETX30 Splashproof Sporty In-Earphone - Black (International Version),Visit the JVC Store,$26.88,4 out of 5,/JVC-HA-ETX30-Splashproof-Sporty-Earphone/dp/B00NED2OJK/ref=sr_1_93?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599298744&refinements=p_89%3AJVC&rnid=2528832011&s=electronics&sr=1-93,126 ratings,['No Review']
35,"Son True Wireless Earbuds, Bluetooth in Ear Headphones: Noise Cancelling Sports Workout Ear Buds - Cordless, Sweatproof Sport Earphones, Built-in Microphone, Extra BASS WF-SP700N/B (Black)",Visit the Sony Store,$89.99,3 out of 5,/Wireless-Earbuds-Bluetooth-Headphones-Built/dp/B08DKJFMWB/ref=sr_1_25?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599295858&refinements=p_89%3ASony&rnid=2528832011&s=electronics&sr=1-25,2 ratings,['No Review']
36,Sony XBA-300AP In-ear Balanced Armature Headphones,Visit the Sony Store,$189.00,4.3 out of 5,/Sony-XBA-300AP-Balanced-Armature-Headphones/dp/B016ZIXXWW/ref=sr_1_200?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599298244&refinements=p_89%3ASony&rnid=2528832011&s=electronics&sr=1-200,13 ratings,['No Review']
37,"Plantronics Explorer 110, Black Earset",Visit the Plantronics Store,No Price,4.5 out of 5,/Plantronics-Explorer-110-Black-Earset/dp/B01N7CHMTT/ref=sr_1_8?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599295858&refinements=p_89%3APlantronics&rnid=2528832011&s=electronics&sr=1-8,38 ratings,['No Review']
38,Beats EP Wired Headphones - White with AppleCare+ Bundle,Visit the Beats Store,$120.00,No Review,/Beats-EP-Wired-Headphones-AppleCare/dp/B0874336MT/ref=sr_1_26?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599298402&refinements=p_89%3ABeats&rnid=2528832011&s=electronics&sr=1-26,No Ratings,['No Review']
39,"JBL Lifestyle Tune 110BT Wireless in-Ear Headphones, Black",Visit the JBL Store,No Price,3.9 out of 5,/JBL-Lifestyle-110BT-Wireless-Headphones/dp/B078J8TVN2/ref=sr_1_90?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599298820&refinements=p_89%3AJBL&rnid=2528832011&s=electronics&sr=1-90,"1,130 ratings","['sound quality', 'battery life', 'second pair', 'much better', 'pretty good', 'even though', 'good sound', 'earbuds', 'audio quality', 'bit long', 'buds to fit', 'seems like', 'great sound', 'bass heavy', 'expected better']"
40,"UKDapper JVC HAF160 Blue Gumy Bass Boost Stereo Headphones for iPod, iPhone, MP3 and Smartphone",Visit the JVC Store,No Price,4.6 out of 5,/UKDapper-JVC-HAF160-Headphones-Smartphone/dp/B00GSO7852/ref=sr_1_143?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599298751&refinements=p_89%3AJVC&rnid=2528832011&s=electronics&sr=1-143,44 ratings,['No Review']
41,"JVC HAFX7 Gumy Earbuds, Remote and Mic, Powerful Sound, Silicone Ear Pieces S/M/L (Pink)",Visit the JVC Store,$7.95,No Review,/JVC-Earbuds-Remote-Powerful-Silicone/dp/B08DKMTB3L/ref=sr_1_9?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599295858&refinements=p_89%3AJVC&rnid=2528832011&s=electronics&sr=1-9,No Ratings,['No Review']
42,JVC Premium in-Ear Lightweight Digital Noise Cancelling Extra Bass Stereo Headphones,Visit the JVC Store,No Price,1 out of 5,/JVC-Premium-Lightweight-Cancelling-Headphones/dp/B016OZPRXO/ref=sr_1_223?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599298764&refinements=p_89%3AJVC&rnid=2528832011&s=electronics&sr=1-223,1 rating,['No Review']
43,Skull Candy S3FXDM209 Headphone Earbud,Visit the Skullcandy Store,$49.99,3.5 out of 5,/Skull-Candy-S3FXDM209-Headphone-Earbud/dp/B007GN186Y/ref=sr_1_73?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599298666&refinements=p_89%3ASkullcandy&rnid=2528832011&s=electronics&sr=1-73,155 ratings,"['sound quality', 'skull candy', 'ear canal', 'great sound', 'another pair', 'controls work', 'much better', 'pretty good', 'work great', 'quality is good', 'buy another', 'mic work', 'ear pieces', 'apple earbuds', 'microphone works']"
44,JLab Audio Epic Air True Wireless Bluetooth 4.1 Sport Earbuds | with Mic & Charging Case | Noise Isolation | 36 Hours Playtime | IP55 Sweat Resistant | Black,Visit the JLAB Store,No Price,3.1 out of 5,/Wireless-Bluetooth-Charging-Isolation-Resistant/dp/B01MT308MQ/ref=sr_1_31?dchild=1&fst=as%3Aoff&keywords=earbuds&qid=1599298365&refinements=p_89%3AJLAB&rnid=2528832011&s=electronics&sr=1-31,169 ratings,"['true wireless', 'battery life', 'epic air', 'sound quality', 'charging case', 'wireless earbuds', 'connectivity issues', 'earbud', 'touch controls', 'audio epic', 'every time', 'stopped charging', 'listening to music']"
