,Titles,Brands,Prices,Stars,Urls,Ratings,Review_Words
10,"Vogek Earbuds, Tangle-Free Flat Cord Ergonomic in-Ear Headphones with Dynamic Crystal Clear Sound, Earphones with 3.5mm Jack, S/M/L Eartips Compatible with Samsung, Android Phone and More-Black",Visit the VOGEK Store,$8.99,4.3 out of 5,/Tangle-Free-Ergonomic-Headphones-Compatible-More-Black/dp/B07S82CYLR/ref=sxin_9_ac_d_rm?ac_md=1-1-ZWFycGhvbmVz-ac_d_rm&cv_ct_cx=in+ear+earbuds&dchild=1&keywords=in+ear+earbuds&pd_rd_i=B07S82CYLR&pd_rd_r=44f59e25-7387-400b-beed-5751a697c7fb&pd_rd_w=P6dSS&pd_rd_wg=xkoYz&pf_rd_p=54ae11ea-870e-480b-a70f-1f4a57c2e311&pf_rd_r=YXMA67461CSEYGYKXFZV&psc=1&qid=1598947258&sr=1-2-12d4272d-8adb-4121-8624-135149aa9081,"6,807 ratings","['sound quality', 'stopped working', 'tangle free', 'noise cancellation', 'great price', 'highly recommend', 'flat cord', 'good quality', 'great value', 'pleasantly surprised', 'good for the price', 'really good', 'quality is good']"
11,"Sony MDREX15AP In-Ear Earbud Headphones with Mic, Black (MDREX15AP/B)",Visit the Sony Store,$9.99,4.2 out of 5,/Sony-MDREX15AP-B-Black/dp/B00JG2WRUO/ref=sxin_9_ac_d_rm?ac_md=2-2-ZWFyYnVkcyB3aXRoIG1pYw%3D%3D-ac_d_rm&cv_ct_cx=in+ear+earbuds&dchild=1&keywords=in+ear+earbuds&pd_rd_i=B00JG2WRUO&pd_rd_r=44f59e25-7387-400b-beed-5751a697c7fb&pd_rd_w=P6dSS&pd_rd_wg=xkoYz&pf_rd_p=54ae11ea-870e-480b-a70f-1f4a57c2e311&pf_rd_r=YXMA67461CSEYGYKXFZV&psc=1&qid=1598947258&sr=1-3-12d4272d-8adb-4121-8624-135149aa9081,"3,876 ratings","['sound quality', 'stopped working', 'left side', 'last long', 'left earbud', 'good price', 'great sound', 'earbud', 'get what you pay', 'pretty good', 'waste your money', 'listening to music', 'second pair', 'new pair']"
12,"Linklike Quad Dynamic Drivers Air-flow Hi-Res Extra Bass Headphones Noise Isolating Wired Earbuds with Microphone, Lightweight Earphones with Volume Control 3.5mm Jack In-Ear Headphones (Bright Black)",Visit the Linklike Store,$29.99,4.3 out of 5,/Linklike-Headphones-Microphone-Lightweight-Earphones/dp/B07L738NLT/ref=sxin_9_ac_d_rm?ac_md=3-3-aW4gZWFyIGVhcmJ1ZHMgd2l0aCBtaWNyb3Bob25l-ac_d_rm&cv_ct_cx=in+ear+earbuds&dchild=1&keywords=in+ear+earbuds&pd_rd_i=B07L738NLT&pd_rd_r=44f59e25-7387-400b-beed-5751a697c7fb&pd_rd_w=P6dSS&pd_rd_wg=xkoYz&pf_rd_p=54ae11ea-870e-480b-a70f-1f4a57c2e311&pf_rd_r=YXMA67461CSEYGYKXFZV&psc=1&qid=1598947258&sr=1-4-12d4272d-8adb-4121-8624-135149aa9081,"1,180 ratings","['sound quality', 'noise cancellation', 'stopped working', 'new pair', 'ear hooks', 'highly recommend', 'great customer service', 'make sure', 'noise cancelling', 'another pair', 'price range', 'good sound', 'high quality']"
13,"Vogek Earbuds, Tangle-Free Flat Cord Ergonomic in-Ear Headphones with Dynamic Crystal Clear Sound, Earphones with 3.5mm Jack, S/M/L Eartips Compatible with Samsung, Android Phone and More-Black",Visit the VOGEK Store,$8.99,4.3 out of 5,/Tangle-Free-Ergonomic-Headphones-Compatible-More-Black/dp/B07S82CYLR/ref=sr_1_6?dchild=1&keywords=in+ear+earbuds&qid=1598947258&sr=8-6,"6,807 ratings","['sound quality', 'stopped working', 'tangle free', 'noise cancellation', 'great price', 'highly recommend', 'flat cord', 'good quality', 'great value', 'pleasantly surprised', 'good for the price', 'really good', 'quality is good']"
14,"Sephia SP3060 Earbuds, Noise Isolating in Ear Headphones, Powerful Bass Sound, High Definition, Pure Audio, Earphones Compatible with iPhone, iPod, iPad, MP3 Players, Samsung Smartphones and Tablets",Visit the sephia Store,$14.95,4.4 out of 5,/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A05700972CAHDUDB2WQ5N&url=%2FSP3060-Isolating-Earphones-Headphones-BlackBerry%2Fdp%2FB0170RBJ9Q%2Fref%3Dsr_1_7_sspa%3Fdchild%3D1%26keywords%3Din%2Bear%2Bearbuds%26qid%3D1598947258%26sr%3D8-7-spons%26psc%3D1&qualifier=1598947258&id=2143122980478648&widgetName=sp_mtf,"5,850 ratings","['sound quality', 'noise cancellation', 'highly recommend', 'well made', 'stopped working', 'noise cancelling', 'ear pieces', 'high quality', 'earbud', 'listening to music', 'second pair', 'pleasantly surprised']"
15,Skullcandy Sesh True Wireless In-Ear Earbud - Black,Visit the Skullcandy Store,$42.66,4 out of 5,/Skullcandy-Sesh-True-Wireless-Earbud/dp/B07VPX4W35/ref=sr_1_8?dchild=1&keywords=in+ear+earbuds&qid=1598947258&sr=8-8,"6,581 ratings","['battery life', 'sound quality', 'skullcandy', 'right earbud', 'charging case', 'wireless earbuds', 'earbud', 'noise cancellation', 'right ear', 'great sound', 'stopped working', 'right earbud', 'left earbud', 'fully charged', 'right side']"
16,"SIKAMARU Headphone Heavy Bass Stereo Earphones Earbuds with Remote & Microphon,Laptops,Gaming Noise Isolating Tangle Free Headsets in Ear Headphones 4 Pairs",Brand: SIKAMARU,$11.99,3.9 out of 5,/SIKAMARU-Headphone-Earphones-Microphon-Headphones/dp/B085W944PN/ref=sr_1_9?dchild=1&keywords=in+ear+earbuds&qid=1598947258&sr=8-9,"1,231 ratings","['sound quality', 'stopped working', 'get what you pay', 'waste of money', 'volume control', 'hurt my ears', 'different colors', 'broke within', 'cheaply made', 'super cute', 'make sure', 'working within', 'total waste']"
17,"Sephia SP3060 Earbuds, Noise Isolating in Ear Headphones, Powerful Bass Sound, High Definition, Pure Audio, Earphones Compatible with iPhone, iPod, iPad, MP3 Players, Samsung Smartphones and Tablets",Visit the sephia Store,$14.95,4.4 out of 5,/SP3060-Isolating-Earphones-Headphones-BlackBerry/dp/B0170RBJ9Q/ref=sr_1_10?dchild=1&keywords=in+ear+earbuds&qid=1598947258&sr=8-10,"5,850 ratings","['sound quality', 'noise cancellation', 'highly recommend', 'well made', 'stopped working', 'noise cancelling', 'ear pieces', 'high quality', 'earbud', 'listening to music', 'second pair', 'pleasantly surprised']"
18,"LUDOS Clamor Wired Earbuds in Ear Headphones with Microphone, Earphones with Mic and Volume Control, Memory Foam, Reinforced Cable, Bass Compatible with iPhone, Apple, iPad, Computer, Laptop, PC",Visit the Ludos Store,$19.97,4.4 out of 5,/Headphones-Microphone-Generation-Reinforced-Compatible/dp/B074M7FJDW/ref=sr_1_11?dchild=1&keywords=in+ear+earbuds&qid=1598947258&sr=8-11,"10,791 ratings","['sound quality', 'memory foam', 'noise cancellation', 'highly recommend', 'ear pieces', 'great price', 'stopped working', 'listening to music', 'foam tips', 'zoom meetings', 'bang for your buck', 'good quality']"
19,HaoTuo Q13 Mini Bluetooth Music Earbud Smallest Wireless Invisible Headphone with 5 Hour Playtime Car Headset for iPhone and Android Smart Phones（Single）,Brand: HaoTuo,$13.99,4.1 out of 5,/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A06569783I0ZI0NP4EHG0&url=%2FChristmas-Q13-Bluetooth-Invisible-Phones%25EF%25BC%2588one%2Fdp%2FB076J5ZL1Z%2Fref%3Dsr_1_12_sspa%3Fdchild%3D1%26keywords%3Din%2Bear%2Bearbuds%26qid%3D1598947258%26sr%3D8-12-spons%26psc%3D1&qualifier=1598947258&id=2143122980478648&widgetName=sp_mtf,117 ratings,"['battery life', 'sound quality', 'listening to music', 'earbud has great', 'ear', 'bluetooth', 'charging', 'lasts']"
20,"JVC Gumy in Ear Earbud Headphones, Powerful Sound, Comfortable and Secure Fit, Silicone Ear Pieces S/M/L - HAFX7B (Black)",Visit the JVC Store,$7.99,4.4 out of 5,/Headphone-earpieces-Included-JVC-HAFX7B/dp/B073R2RSB2/ref=sr_1_13?dchild=1&keywords=in+ear+earbuds&qid=1598947258&sr=8-13,"1,790 ratings","['sound quality', 'stopped working', 'noise cancellation', 'last long', 'pretty good', 'another pair', 'small ears', 'low price', 'long time', 'waste of money', 'comfortable to wear', 'earbud', 'gumy plus', 'ear pieces']"
21,"Sony MDREX155AP in-Ear Earbud Headphones/Headset with mic for Phone Call, Black (MDR-EX155AP/B)",Visit the Sony Store,No Price,4.4 out of 5,/Sony-Microphone-Headphones-Smartphone-MDREX155AP/dp/B078P3LFMG/ref=sr_1_14?dchild=1&keywords=in+ear+earbuds&qid=1598947258&sr=8-14,597 ratings,"['volume control', 'sound quality', 'phone calls', 'stopped working', 'earbuds', 'pretty good', 'bang for your buck', 'good sound', 'great sound', 'in-ear headphones', 'excellent sound', 'another pair', 'sound pretty']"
22,"SoundPEATS True Wireless Bluetooth Earbuds in-Ear Stereo Bluetooth Headphones Wireless Earphones (Bluetooth 5.0, Built-in Mic, Stereo Calls, Total 15 Hours Playtime)",Visit the SoundPEATS Store,$23.99,4.1 out of 5,/SoundPEATS-Wireless-Bluetooth-Headphones-Earphones/dp/B07HK8F3PM/ref=sr_1_15?dchild=1&keywords=in+ear+earbuds&qid=1598947258&sr=8-15,"6,720 ratings","['sound quality', 'battery life', 'noise cancellation', 'wireless earbuds', 'stopped working', 'earbud', 'right earbud', 'true wireless', 'highly recommend', 'stereo mode', 'left earbud', 'listening to music']"
23,"Wireless Earbuds, [Upgraded] Boltune Bluetooth V5.0 in-Ear Stereo Wireless Headphones 40Hours Playing Time Bluetooth Earbuds Built-in Mic Single/Twin Mode, Red",Visit the Boltune Store,$40.99,4.6 out of 5,/Wireless-Upgraded-Boltune-Bluetooth-Headphones/dp/B07XK1JSNZ/ref=sr_1_16?dchild=1&keywords=in+ear+earbuds&qid=1598947258&sr=8-16,"8,532 ratings","['sound quality', 'battery life', 'wireless earbuds', 'noise cancellation', 'highly recommend', 'easy to use', 'noise cancelling', 'great price', 'definitely recommend', 'apple airpods', 'really good', 'recommend to anyone']"
24,"Earbuds Earphones with Microphone,5pack Ear Buds Wired Headphones,Noise Islating Earbuds,Fits All 3.5mm Interface for iPad,iPod,Mp3 Players,Android and iOS Smartphones(Black+Pink+White+Green)",Brand: kirababy,$15.99,4.8 out of 5,/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A0790809T8BQCQ215L8Z&url=%2FEarphones-Microphone-Headphones-Interface-Smartphones%2Fdp%2FB08B5F9JVB%2Fref%3Dsr_1_17_sspa%3Fdchild%3D1%26keywords%3Din%2Bear%2Bearbuds%26qid%3D1598947258%26sr%3D8-17-spons%26psc%3D1&qualifier=1598947258&id=2143122980478648&widgetName=sp_mtf,502 ratings,"['great value', 'sound quality', 'work well', 'great price', 'distance learning', 'good quality', 'noise cancelling', 'needed earbuds', 'fit perfectly', 'variety of colors', 'earbuds', 'kids online', 'different colors', 'good price']"
25,Easy KZ ZST Colorful Hybrid Banlance Armature with Dynamic in-Ear Earphone 1BA+1DD HiFi Headset (Colorful ZST Nomic),Visit the Yinyoo Store,$22.59,4.4 out of 5,/ZST-Colorful-Banlance-Armature-Earphone/dp/B01N0782B3/ref=sr_1_18?dchild=1&keywords=in+ear+earbuds&qid=1598947258&sr=8-18,"2,821 ratings","['sound quality', 'foam tips', 'in-ear monitors', 'highly recommend', 'price point', 'bang for your buck', 'low end', 'noise cancellation', 'memory foam', 'build quality', 'blown away', 'worship team']"
26,JBL Endurance RUN - Wired Sport In-Ear Headphones - Black,Visit the JBL Store,No Price,4.6 out of 5,/JBL-Endurance-Headphone-one-Button-Remote/dp/B07NVXJNHG/ref=sr_1_19?dchild=1&keywords=in+ear+earbuds&qid=1598947258&sr=8-19,"1,490 ratings","['sound quality', 'earbuds', 'highly recommend', 'great sound', 'noise cancelling', 'good sound', 'sweat proof', 'stopped working', 'wired earbuds', 'value for money', 'endurance run', 'second pair']"
27,"1MORE Triple Driver In-Ear Earphones Hi-Res Headphones with High Resolution, Bass Driven Sound, MEMS Mic, In-Line Remote, High Fidelity for Smartphones/PC/Tablet - Gold",Visit the 1MORE Store,$69.98,3.9 out of 5,/1MORE-Earphones-Headphones-Resolution-Smartphones/dp/B01A7G35S0/ref=sr_1_20?dchild=1&keywords=in+ear+earbuds&qid=1598947258&sr=8-20,"6,642 ratings","['sound quality', 'triple driver', 'stopped working', 'highly recommend', 'price point', 'highly recommend', 'high quality', 'ear tips', 'much better', 'ever owned', 'left earbud', 'right earbud', 'price range', 'worth the money']"
28,"Betron B25 Earphones, Noise Isolating in-Ear Wired Headphones with Powerful Bass and Pure Sound, Tangle-Free, Compatible with iPhone, iPad, iPod, Samsung Smartphones and Tablets, Black",Visit the Betron Store,$13.99,4.2 out of 5,/Betron-B25-Auriculares-intraurales-aislamiento/dp/B00P89DXYI/ref=sr_1_21?dchild=1&keywords=in+ear+earbuds&qid=1598947258&sr=8-21,"15,824 ratings","['sound quality', 'noise cancellation', 'stopped working', 'great sound', 'noise cancelling', 'highly recommend', 'earbud', 'well made', 'pleasantly surprised', 'ear canal', 'noise isolating', 'good quality']"
29,"VEATOOL Wireless Earbuds Bluetooth Headphones 5.0, IPX7 Waterproof TWS Stereo Deep Bass in-Ear Earpods, Touch Control Earphones Built-in Mic with Mini Charging Case for iPhone Airpods Samsung",Visit the VEATOOL Store,$19.99,4.9 out of 5,/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A01165903QHJXVAHLTYNX&url=%2FVEATOOL-Bluetooth-Headphones-Waterproof-Earphones%2Fdp%2FB08BZG6DTK%2Fref%3Dsr_1_22_sspa%3Fdchild%3D1%26keywords%3Din%2Bear%2Bearbuds%26qid%3D1598947258%26sr%3D8-22-spons%26psc%3D1&qualifier=1598947258&id=2143122980478648&widgetName=sp_btf,144 ratings,"['sound quality', 'charging case', 'battery life', 'highly recommend', 'great sound', 'wireless earbuds', 'good enough', 'phone calls', 'long time', 'previous version', 'easy to use', 'high quality', 'good quality', 'sleek design']"
30,"4 Packs Earbuds Wired in Ear Earphones Headphones with Microphone and Remote Noise Isolating, Stereo Pure Sound and Powerful Bass Fits All 3.5mm Interface Device White",Brand: QWDBG,$13.97,4.3 out of 5,/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A04770801ON06WH0LNW5V&url=%2FEarphones-Headphones-Microphone-Isolating-Interface%2Fdp%2FB089YQ7QX4%2Fref%3Dsr_1_17_sspa%3Fdchild%3D1%26keywords%3Din%2Bear%2Bearbuds%26qid%3D1598947261%26sr%3D8-17-spons%26psc%3D1&qualifier=1598947261&id=6658717339627098&widgetName=sp_atf_next,181 ratings,"['sound quality', 'volume control', 'easy to carry', 'noise cancellation', 'effect is very good', 'comfortable to wear', 'mobile phone', 'inline microphone', 'bluetooth headset', 'crisp and clear', 'long time', 'quality is very good']"
31,"Betron GLD100 Earphone with Mic and Volume Control, Noise Isolating Headphone with 3 Different Sized Earbuds,Includes Carry Bag, Compatible with iPhone, iPad, iPod and Samsung Devices, Black",Visit the Betron Store,$11.19,4 out of 5,/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg2_1?ie=UTF8&adId=A05190662P6YRQV0B74N2&url=%2FBetron-GLD100-Earphones-Headphones-Definition%2Fdp%2FB074PQVNYN%2Fref%3Dsr_1_18_sspa%3Fdchild%3D1%26keywords%3Din%2Bear%2Bearbuds%26qid%3D1598947261%26sr%3D8-18-spons%26psc%3D1&qualifier=1598947261&id=6658717339627098&widgetName=sp_atf_next,"1,510 ratings","['sound quality', 'stopped working', 'worth the price', 'earbuds', 'headphones', 'microphone', 'ear', 'broke', 'buds', 'cable', 'earphones', 'hear', 'low', 'bass', 'calls', 'cord', 'meetings']"
32,"Creative EP-630 Noise-Isolating in-Ear Earphones with Superior Audio Quality, Deep Bass, Clear Highs, and Soft Ergonomic Earbuds (Black)",Visit the Creative Store,$19.48,4.4 out of 5,/Creative-Noise-Isolating-Earphones-Superior-Ergonomic/dp/B002EL4MXY/ref=sr_1_19?dchild=1&keywords=in+ear+earbuds&qid=1598947261&sr=8-19,"1,061 ratings","['sound quality', 'creative ep-', 'bang for your buck', 'much better', 'second pair', 'creative labs', 'stopped working', 'highly recommend', 'another pair', 'listening to music', 'noise isolation', 'skullcandy']"
33,"Linklike Quad Dynamic Drivers Air-flow Hi-Res Extra Bass Headphones Noise Isolating Wired Earbuds with Microphone, Lightweight Earphones with Volume Control 3.5mm Jack In-Ear Headphones (Bright Black)",Visit the Linklike Store,$29.99,4.3 out of 5,/Linklike-Headphones-Microphone-Lightweight-Earphones/dp/B07L738NLT/ref=sr_1_20?dchild=1&keywords=in+ear+earbuds&qid=1598947261&sr=8-20,"1,180 ratings","['sound quality', 'noise cancellation', 'stopped working', 'new pair', 'ear hooks', 'highly recommend', 'great customer service', 'make sure', 'noise cancelling', 'another pair', 'price range', 'good sound', 'high quality']"
34,Shure SE215-CL Sound Isolating Earphones with Single Dynamic MicroDriver,Visit the Shure Store,$99.00,4.4 out of 5,/Shure-SE215-CL-Isolating-Earphones-MicroDriver/dp/B004PO10E2/ref=sr_1_21?dchild=1&keywords=in+ear+earbuds&qid=1598947261&sr=8-21,"1,932 ratings","['sound quality', 'sound isolation', 'noise isolation', 'highly recommend', 'stopped working', 'noise cancellation', 'in-ear monitors', 'noise cancelling', 'around your ear', 'ear canal', 'much better', 'price range', 'outside noise']"
35,"AmazonBasics In-Ear Wired Headphones Earbuds with Microphone, Pink",Visit the AmazonBasics Store,$10.99,4.1 out of 5,/AmazonBasics-Ear-Headphones-Mic-Pink/dp/B07HH5T7BB/ref=sr_1_22?dchild=1&keywords=in+ear+earbuds&qid=1598947261&sr=8-22,"1,877 ratings","['sound quality', 'stopped working', 'ear pieces', 'fit in my ears', 'job done', 'great value', 'pink color', 'headphones', 'good quality', 'earbud', 'good sound', 'ear plugs', 'get what you pay', 'silicone ear']"
